"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.00202133117894586,1.11865773693383,0.741,0.333,1,"NCAM1"
0.00202149480455274,1.14802482446729,0.741,0.321,1,"MCM4"
0.00219224625048611,-2.44888617458471,0.037,0.321,1,"HDAC9"
0.00222598938867577,-0.674175881007153,0.296,0.605,1,"CHST9"
0.00228400563657458,1.34339050908018,0.704,0.321,1,"AATF"
0.00231891317646541,0.584388500258931,0.963,0.667,1,"LINC00461"
0.00233058483076273,-2.06161927941195,0.148,0.444,1,"KIAA0825"
0.00233954881430967,-0.781102551584135,0.741,0.654,1,"ESYT1"
0.00235339790277372,0.59379302148564,0.926,0.568,1,"B3GALNT1"
0.00237636529296742,0.934768624734144,0.852,0.506,1,"DCLK1"
0.00242463853782099,0.605966902214063,0.704,0.765,1,"ASB8"
0.00244781127971593,-0.865324496996543,0.519,0.79,1,"HLTF"
0.00246348932652496,-2.50960219120621,0.222,0.407,1,"CDH7"
0.00250785699003533,-1.67378460532481,0.259,0.58,1,"IGFBP4"
0.00255918797018635,-1.1499093803848,0.111,0.383,1,"PDE4D"
0.00259666798643385,0.977539459547631,0.926,0.58,1,"ABTB2"
0.00265874144431495,0.959360581487626,0.889,0.494,1,"ARAF"
0.00265948856580443,-1.00892397796137,0.296,0.617,1,"SORBS2"
0.00268063484311561,0.947436305168492,0.741,0.333,1,"CYGB"
0.00276702134046725,-2.13726675042267,0.037,0.259,1,"RNF43"
0.00276859686918289,-0.946123435897155,0.259,0.593,1,"KANSL1L"
0.00280430168662368,1.86121422939732,0.444,0.16,1,"NTM"
0.00284291735240022,-1.41645853573395,0.148,0.481,1,"ARHGAP4"
0.00288524170638825,0.805904047790221,0.926,0.556,1,"S1PR1"
0.00291256329042261,0.637096388942735,1,0.852,1,"SORBS1"
0.00292875982793809,0.788486137402482,0.926,0.704,1,"EDNRB"
0.00297527391792503,0.874798941641175,0.852,0.494,1,"MT3"
0.00311731466965958,-1.11145456932066,0.111,0.358,1,"ATP10B"
0.00314724675294614,0.500100261337173,1,0.716,1,"PTK2"
0.00320654599176397,0.78934400119578,0.889,0.654,1,"CALB1"
0.00322368290470565,0.641298487964256,1,0.778,1,"DDR1"
0.00333675778181942,-1.00821679275483,0.37,0.654,1,"TSPAN13"
0.00333737390506265,1.38783648136381,0.556,0.222,1,"CDIP1"
0.00335317170287171,1.26095832494436,0.63,0.222,1,"FAM65B"
0.00335894790129882,1.68396657997241,0.63,0.247,1,"SS18L1"
