"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.12929758350373e-09,-0.915141352810053,0.204,0.267,0.000148831603922637,"PPARG"
6.85386259514851e-09,0.636189883651335,0.563,0.325,0.000166425491535396,"TNFSF13B"
1.37327060690394e-08,0.631000509950898,0.595,0.387,0.000333457568768414,"AGTRAP"
1.38693555476287e-08,-0.563833837594404,0.766,0.78,0.000336775691407519,"SQSTM1"
1.49141782484734e-08,-0.633090210191062,0.946,0.939,0.000362146076229431,"CCL3"
1.61891164977949e-08,-0.855351475580409,0.37,0.401,0.000393104126799456,"FAM162A"
1.82288158701738e-08,0.533613636755265,0.535,0.33,0.00044263210695956,"VPS37B"
3.84725980212029e-08,-0.631287705695049,0.459,0.448,0.00093419162515085,"VKORC1"
4.06133566888736e-08,0.504111327321451,0.833,0.616,0.000986173527119228,"YBX3"
4.19623284383159e-08,0.539928361121955,0.833,0.609,0.00101892925913919,"SPI1"
4.8278775536158e-08,0.730460370049225,0.314,0.145,0.00117230522756899,"CD300LF"
5.11510575115484e-08,-0.607796727344853,0.632,0.68,0.00124204997849542,"PHLDA1"
5.53743602855011e-08,-0.930820038698848,0.242,0.341,0.00134460021645254,"SERPINE1"
7.37593001202828e-08,0.580754315007745,0.37,0.203,0.00179102332552071,"RBP7"
7.70788194438712e-08,0.50135855642699,0.978,0.892,0.00187162789373608,"HLA-DRA"
7.90798362860807e-08,0.700867971201848,0.379,0.196,0.00192021658469861,"CLEC4A"
8.69118191559106e-08,-1.04164459124606,0.208,0.258,0.00211039279274382,"PDK4"
1.34621230733696e-07,0.563980907841341,0.768,0.571,0.0032688727246756,"AP1S2"
1.67572064721444e-07,0.93407056120023,0.253,0.11,0.00406898487556611,"ZNF467"
1.99799393447405e-07,-1.00164955134488,0.191,0.26,0.00485152887168989,"ERRFI1"
2.23821806473083e-07,-0.565321385373695,0.329,0.334,0.0054348411047794,"VEGFB"
2.51811032981628e-07,-0.53502304938395,0.602,0.574,0.00611447550285989,"ARL6IP1"
2.60508076393933e-07,0.55121760302751,0.561,0.382,0.00632565711099749,"OSM"
2.87644261051849e-07,-0.711408868297388,0.309,0.343,0.006984577946861,"TCEAL9"
3.36588329579752e-07,0.868822330400519,0.403,0.224,0.00817303781885553,"POU2F2"
3.40673778250705e-07,-1.15663527583124,0.284,0.345,0.00827224068348361,"GBE1"
4.00962553368534e-07,0.658013290008549,0.413,0.228,0.00973617272089474,"GAS7"
4.07659161272763e-07,0.681759405563554,0.379,0.189,0.00989877975402522,"FLOT2"
4.09689107518998e-07,0.736146593216158,0.494,0.282,0.00994807090877631,"IQGAP2"
4.12160601324763e-07,-0.716167928316756,0.366,0.367,0.0100080837213679,"CISD2"
4.97228921953458e-07,1.10909631073074,0.279,0.136,0.0120737126828739,"PLAC8"
5.44809356899753e-07,0.623562725890309,0.546,0.328,0.0132290608042398,"CASP1"
