"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.24708613143955e-06,0.963168061127242,0.754,0.528,0.0302817454436152,"PLIN2"
1.44102555010515e-06,-2.21133062691514,0.028,0.263,0.0349909824076533,"IGHG3"
1.44386718133199e-06,0.729592657393054,0.704,0.397,0.0350599828971034,"AHNAK"
1.59710575576195e-06,0.775808418357855,0.845,0.561,0.0387809219614116,"RILPL2"
1.78034917644789e-06,1.53873168105189,0.338,0.096,0.0432304387025076,"PRAM1"
2.85032754509996e-06,0.547934746675211,0.894,0.538,0.0692116534501172,"PPT1"
3.11313739223165e-06,1.52984353424263,0.43,0.162,0.0755932021581688,"PPP1R14A"
3.26155484450738e-06,0.75252345572115,0.866,0.514,0.0791970747343282,"RNF130"
3.4135089721562e-06,-1.12416923516143,0.458,0.498,0.0828868248618968,"IRF8"
3.44278108610515e-06,1.39576255883826,0.423,0.162,0.0835976103328051,"SNAI1"
3.71424711007759e-06,1.03014500193958,0.775,0.467,0.0901893483269039,"SERPINA1"
3.72820221343874e-06,1.21427416893362,0.69,0.39,0.0905282061467195,"ALCAM"
3.84681913726657e-06,1.35486212728267,0.57,0.263,0.0934084622911068,"SATB1"
3.97787093040912e-06,0.935186239804408,0.662,0.317,0.0965906619321941,"TLR2"
4.07719372174874e-06,0.982600299991269,0.718,0.439,0.0990024179515028,"PGAM1"
4.8463528590248e-06,0.917162832523712,0.831,0.561,0.11767914012284,"RBPJ"
4.88552095221393e-06,1.05303700419424,0.838,0.484,0.118630219761659,"AP1S2"
4.96357391578198e-06,0.662374437937082,0.944,0.702,0.120525501823018,"SGK1"
5.20384683958457e-06,0.893210897247559,0.739,0.406,0.126359808958793,"ETV3"
5.95525587839146e-06,0.826769839980487,0.852,0.54,0.144605523239101,"IL18"
7.5017177117194e-06,0.566149753228428,0.655,0.343,0.18215670947597,"CD9"
7.60564894255467e-06,1.19408023053118,0.634,0.34,0.184680367623113,"GK"
8.29530455939434e-06,1.48525976768059,0.331,0.101,0.201426585311213,"PRKCH"
8.81624837693843e-06,1.29741214300799,0.472,0.192,0.214076143088819,"GLIPR2"
1.00217206336097e-05,0.710823186539424,0.915,0.678,0.24334742042531,"NR4A3"
1.02765071365188e-05,1.03398808254984,0.725,0.38,0.24953414628895,"TNFSF13B"
1.0883796998604e-05,-4.17660964157875,0.063,0.3,0.264280358720103,"CD79A"
1.18366347272598e-05,0.804153899591883,0.923,0.606,0.287417164447323,"SAMHD1"
1.21490757436106e-05,0.884058957581624,0.585,0.289,0.295003857206353,"SPTLC2"
1.22787461695814e-05,0.927942951766893,0.725,0.399,0.298152514489776,"ITGAX"
1.28336572594217e-05,0.547730265730654,0.324,0.11,0.311626865573277,"IL7R"
1.39673495818833e-05,1.1279798154759,0.387,0.134,0.339155182547291,"LILRA2"
