"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019883","antigen processing and presentation of endogenous antigen","3/123","32/18870",0.00116761598890579,0.0209954652819911,0.0179466901998482,"CD74/HLA-DRA/HLA-DRB1",3
"GO:0002286","T cell activation involved in immune response","5/123","123/18870",0.00126964461284228,0.0226206407168781,0.0193358720854879,"FGL2/CD74/HLA-DRA/HLA-DMB/HLA-DRB1",5
"GO:0045123","cellular extravasation","4/123","74/18870",0.00139105963050259,0.0244128034917052,0.0208677928919828,"RIPOR2/JAML/ITGA4/BST1",4
"GO:0090022","regulation of neutrophil chemotaxis","3/123","34/18870",0.00139537651265668,0.0244128034917052,0.0208677928919828,"RIPOR2/CD74/BST1",3
"GO:0045806","negative regulation of endocytosis","4/123","75/18870",0.00146210605972928,0.0249356928469274,0.0213147528969616,"CNN2/CD300LF/ATG3/CSK",4
"GO:1903305","regulation of regulated secretory pathway","5/123","127/18870",0.00146339709821918,0.0249356928469274,0.0213147528969616,"SPI1/LRRK2/RAB3D/FES/PRAM1",5
"GO:0044000","movement in host","6/123","188/18870",0.00146378423509255,0.0249356928469274,0.0213147528969616,"FCN1/CD74/VPS37B/GRK2/HLA-DRB1/CD4",6
"GO:0002260","lymphocyte homeostasis","4/123","77/18870",0.00161171966143326,0.0271611600603373,0.023217057518105,"LGALS2/CORO1A/CD74/TNFSF13B",4
"GO:0045621","positive regulation of lymphocyte differentiation","5/123","130/18870",0.00162239679042179,0.0271611600603373,0.023217057518105,"VSIR/CD74/SPI1/HLA-DRA/HLA-DRB1",5
"GO:0045589","regulation of regulatory T cell differentiation","3/123","36/18870",0.00164923260298387,0.0272627572907537,0.0233039017006443,"VSIR/HLA-DRA/HLA-DRB1",3
"GO:0033674","positive regulation of kinase activity","8/123","337/18870",0.0016565424100458,0.0272627572907537,0.0233039017006443,"S100A12/CD74/LRRK2/HLA-DRB1/CD4/PAK1/CCND3/NRG1",8
"GO:0050868","negative regulation of T cell activation","5/123","133/18870",0.00179374632552234,0.0291733473080837,0.0249370527968172,"RIPOR2/FGL2/VSIR/CD74/HLA-DRB1",5
"GO:0042060","wound healing","9/123","423/18870",0.00182143676805105,0.0291733473080837,0.0249370527968172,"JAML/SERPINA1/CNN2/F13A1/PAK1/ENTPD1/NRG1/VCL/ITPK1",9
"GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","2/123","10/18870",0.00183272315735644,0.0291733473080837,0.0249370527968172,"FGL2/HLA-DMB",2
"GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","2/123","10/18870",0.00183272315735644,0.0291733473080837,0.0249370527968172,"HLA-DRA/HLA-DRB1",2
"GO:0045089","positive regulation of innate immune response","8/123","343/18870",0.00184993835829051,0.0292079698520339,0.0249666477622947,"FCN1/CTSS/MNDA/SPI1/CD300LF/CASP1/NAIP/PAK1",8
"GO:0043299","leukocyte degranulation","4/123","81/18870",0.00194230396172327,0.0304189862392467,0.0260018111004889,"CORO1A/SPI1/FES/PRAM1",4
"GO:0045862","positive regulation of proteolysis","8/123","350/18870",0.00209768620693644,0.0325896529109645,0.0278572728281159,"S100A9/S100A8/CTSS/VSIR/CASP1/LRRK2/RNF19B/TNFSF10",8
"GO:0050871","positive regulation of B cell activation","4/123","84/18870",0.00221910231451722,0.033277231709692,0.0284450075376358,"CD74/TNFSF13B/SPI1/BST1",4
